title,sys_update,description
Update: SalamAir 2H26 Muscat – Medan Operations,2026-08-24 09:42:17,"Published at 0400PDT / 1100GMT 23AUG26AeroRoutes on 21AUG26 published the update regarding SalamAir’s Muscat – Medan Kualanamu service, based on available flights for reservations listed on the airline website. Since then, AeroRoutes has been advised by the officials from Medan Kualanamu International Airport regarding this matter.For the period of 15SEP26 – 25SEP26, bookings are shown as “full” for Muscat departure due to high demand. Departures from Medan during this period are showing some flights are available for reservations.For flights on/after 27OCT26, the airport has advised due to regulatory approval issues, reservations are not available, however it does expect reservations for the 3 weekly flights to be available in the near future.OV901 MCT1735 – 0305+1KNO 32Q 2OV901 MCT1745 – 0315+1KNO 32Q 57OV902 KNO0400 – 0725MCT 32Q 3OV902 KNO0405 – 0730MCT 32Q 16This update supersedes the post published on 21AUG26, which the original post has been removed."
Air China Sep/Oct 2026 Beijing – Vancouver Service Increases,2026-08-24 09:42:17,"Published at 1600PDT / 2300GMT 22AUG26Star Alliance member Air China from late-September 2026 schedules service increase on Beijing Capital – Vancouver route, as the carrier plans to increase from 3 to 5 weekly from 27SEP26, on board Boeing 777-300ER.Planned frequency increase is currently in effect until 24OCT26.CA991 PEK1350 – 1000YVR 773 47CA991 PEK1355 – 1000YVR 773 5CA991 PEK1400 – 1000YVR 773 13CA992 YVR1300 – 1700+1PEK 773 5CA992 YVR1300 – 1705+1PEK 773 47CA992 YVR1300 – 1715+1PEK 773 13"
Virgin Australia NW26 Perth – Alice Springs Charters,2026-08-24 09:42:17,"Published at 2000PDT 21AUG26 / 0300GMT 22AUG26Virgin Australia during Northern winter 2026/27 season plans to operate charter service on Perth – Alice Springs route, on board Boeing 737-700 aircraft. The weekly charter flight is scheduled from 30OCT26 to 29JAN27 on Fridays.VA9491 PER0545 – 1010ASP 73W 5VA9492 ASP1050 – 1250PER 73W 5"
Air Arabia Adds Sharjah – Katowice From Dec 2026,2026-08-24 09:42:17,"Published at 1900PDT 21AUG26 / 0200GMT 22AUG26Air Arabia during Northern winter 2026/27 season schedules new route launch to Poland, where the airline plans Sharjah – Katowice route. The carrier to serve this route with Airbus A320ceo/320neo from 17DEC26, 5 times weekly.G9689 SHJ0800 – 1120KTW 32N 15G9769 SHJ1755 – 2115KTW 320 4G9769 SHJ1755 – 2115KTW 32N 6G9690 KTW1210 – 2055SHJ 32N 15G9770 KTW2205 – 0650+1SHJ 320 4G9770 KTW2205 – 0650+1SHJ 32N 6"
easyJet Discontinues Leeds/Bradford Service in early-Jan 2027,2026-08-24 09:42:17,"Published at 1800PDT 21AUG26 / 0100GMT 22AUG26easyJet in early-January 2027 plans to discontinue service at Leeds/Bradford, as the carrier gradually ends its remaining 3 routes. Affected routes include the following.Leeds/Bradford – Barcelona 2 weekly A319 until 04NOV26Leeds/Bradford – Dublin 4 weekly A319/320 until 04JAN27Leeds/Bradford – Paris Charles de Gaulle 2 weekly A319/320 until 01JAN27The airline in the last few weeks already removed seasonal Leeds/Bradford – Geneva route, previously scheduled once a week for the period of 23JAN27 – 13FEB27."
Wizz Air Expands Brasov Network in NW26,2026-08-24 09:42:17,"Published at 1701PDT 21AUG26 / 0001GMT 22AUG26Wizz Air during Northern winter 2026/27 season plans to launch 5 routes from Brasov, announced earlier this month. Planned network additions include the following.Brasov – Barcelona eff 18DEC26 2 weekly A321neoBrasov – Chisinau eff 17DEC26 3 weekly A321neoBrasov – Karlsruhe/Baden-Baden eff 18DEC26 2 weekly A321neoBrasov – Madrid eff 20DEC26 2 weekly A321neoBrasov – Nuremberg eff 26OCT26 2 weekly A321neoServices are operated by Wizz Air Malta under W4-coded flight numbers."
JTA Doubles Okinawa – Taipei Flights From Sep 2026,2026-08-24 09:42:17,"Published at 1600PDT / 2300GMT 21AUG26Japan TransOcean Air (JTA) this week announced service expansion on Okinawa – Taipei Taoyuan route, with the launch of 2nd daily flight from 24SEP26, on board Boeing 737-800.Initially, the 2nd daily flight will operate during following dates in September and October 2026, then becoming daily operation from 24OCT26:September 2026: 24, 25, 27, 28October 2026: 09, 11, 12Schedule below focuses on 01DEC26 – 31JAN27.NU301 OKA0830 – 0915TPE 73H DNU307 OKA1755 – 1840TPE 73H DNU302 TPE1015 – 1245OKA 73H DNU308 TPE1940 – 2210OKA 73H D"
SIA Adds Lufthansa Kuala Lumpur Codeshare in NW26,2026-08-24 09:42:17,"Published at 1500PDT / 2200GMT 21AUG26Singapore Airlines (SIA) at the launch of Northern winter 2026/27 season plans to expand codeshare partnership with Lufthansa, covering the latter’s Frankfurt – Kuala Lumpur route from 25OCT26. The latter to serve this route with 787-9 aircraft 5 times weekly.LH704/SQ2274 FRA2130 – 1640+1KUL 789 x24LH705/SQ2275 KUL2355 – 0600+1FRA 789 x35"
flyadeal Adds Madinah – Karachi From Sep 2026,2026-08-24 09:42:17,"Published at 1400PDT / 2100GMT 21AUG26Saudi low-cost carrier flyadeal in September 2026 plans to expand service to Pakistan, with the launch of 2 weekly Madinah – Karachi route on 05SEP26. Airbus A320 aircraft to operate this route.F3833 MED2350 – 0600+1KHI 320 26F3834 KHI0700 – 0905MED 320 37"
IndiGo Resumes Hyderabad – Male in NW26,2026-08-24 09:42:17,"Published at 1300PDT / 2000GMT 21AUG26Indian carrier IndiGo during Northern winter 2026/27 season schedules service resumption on Hyderabad – Male route, last served until January 2025. The airline will operate this service on board Airbus A320neo aircraft from 02DEC26 to 31JAN27, 4 times weekly.6E1137 HYD1515 – 1725MLE 32N x2466E1138 MLE1825 – 2130HYD 32N x246"
IndiGo Discontinues Reunion Service in late-Oct 2026,2026-08-24 09:42:17,"Published at 1200PDT / 1900GMT 21AUG26Indian carrier IndiGo earlier this month filed additional changes to Reunion, as the airline extends service reductions on Chennai – St. Denis de la Reunion route. The airline will continue to operate 2 weekly flights from 27SEP26, instead of 3 weekly.In addition, the airline will operate last flight on this route on 21OCT26. Operations for October 2026 as follows.6E1871 MAA1220 – 1710RUN 32N 376E1872 RUN1810 – 0210+1MAA 32N 14Separately, the airline has discontinued Kolkata – Ho Chi Minh City service. The airline previously suspended this route from 01JUL26 to 30SEP26, however the cancellation is being extended beyond 01OCT26."
Fly2Galicia Outlines Initial Network From Dec 2026,2026-08-24 09:42:17,"Published at 1100PDT / 1800GMT 21AUG26Spain’s Fly2Galicia in the last few days opened reservations with planned operation on board leased Airbus A320 aircraft under 4D-coded flight numbers. The airline plans to launch operations on 01DEC26, initially with 17 weekly departures from Santiago de Compostela scheduled to 8 destinations.Santiago de Compostela – Alicante eff 03DEC26 3 weekly Santiago de Compostela – Brussels eff 01DEC26 2 weeklySantiago de Compostela – Granada eff 03DEC26 2 weeklySantiago de Compostela – Milan Malpensa eff 04DEC26 2 weeklySantiago de Compostela – Munich eff 03DEC26 2 weeklySantiago de Compostela – Prague eff 02DEC26 2 weeklySantiago de Compostela – Venice Marco Polo eff 02DEC26 2 weeklySantiago de Compostela – Zaragoza eff 01DEC26 2 weekly"
Delta 2026-27 Holidays Florida Service Increases,2026-08-24 09:42:17,"Published at 1000PDT / 1700GMT 21AUG26Delta during 2026-27 Holidays season schedules extra routes to/from Orlando, with additional 4 routes scheduled from 19DEC26 – 03JAN27.Orlando – Indianapolis 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Orlando – Kansas City 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Orlando – Nashville 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Orlando – Pittsburgh 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Separately, selected routes to/from Florida will also see additional flights during the same period:Fort Lauderdale/Hollywood – Raleigh/Durham 19DEC26 – 03JAN27 Increase from 1 to 3 daily, A319/320/CRJ900 (Endeavor Air)Miami – Raleigh/Durham 19DEC26 – 03JAN27 Increase from 1 to 2 daily, A319/CRJ900 (Endeavor Air)Tampa – Cincinnati 19DEC26 – 03JAN27 Increase from 1 to 2 daily, 737-800/CRJ900 (Endeavor Air)"
Allegiant Air Feb 2027 Network Additions,2026-08-24 09:42:17,Published at 0900PDT / 1600GMT 21AUG26Allegiant Air this week opened reservations for 9 new routes scheduled from February 2027. Planned network addition overview as follows.Fort Lauderdale/Hollywood – Portsmouth 20FEB27 – 01MAY27 1 weekly 737 MAX 8-200Fort Lauderdale/Hollywood – Providence 13FEB27 – 24APR27 1 weekly 737 MAX 8-200Orlando – Cincinnati eff 12FEB27 2 weekly A320Orlando Sanford – Boston 13FEB27 – 24APR27 1 weekly 737 MAX 8-200Orlando Sanford – Grand Forks 10FEB27 – 17APR27 2 weekly 737 MAX 8-200/A319/A320Orlando Sanford – Providence 13FEB27 – 25APR27 1 weekly A319Punta Gorda – Boston 13FEB27 – 24APR27 1 weekly A319St. Petersburg/Clearwater – Boston 13FEB27 – 24APR27 1 weekly A319Sarasota – Providence 13FEB27 – 24APR27 1 weekly A320
Air Canada 2026-27 Holidays Toronto – Paris Service Increase,2026-08-24 09:42:17,"Published at 0800PDT / 1500GMT 21AUG26Air Canada during 2026-27 Holidays season plans service increase on Toronto Pearson – Paris Charles de Gaulle route, as overall service to increase from 7 to 10 weekly. Planned frequency increase is in effect from 18DEC26 to 10JAN27, operated by a mix of Airbus A330-300 and 787-8.AC872 YYZ2050 – 1035+1CDG 333 DAC884 YYZ2155 – 1140+1CDG 788 257AC873 CDG1205 – 1445YYZ 333 DAC885 CDG1345 – 1625YYZ 788 136"
ITA Airways NW26 Intercontinental Service Changes – 20AUG26,2026-08-24 09:42:17,"Published at 0600PDT / 1300GMT 21AUG26ITA Airways in recent weeks filed additional changes to its planned intercontinental operations for Northern winter 2026/27 season. Planned changes as of 20AUG26 include the following.Rome Fiumicino – Algiers eff 25OCT26 Reduce from 12 to 10 weekly, A319Rome Fiumicino – Buenos Aires Ezeiza 24OCT26 – 11NOV26 Service reduces from 9 to 7 weekly. Inbound flight operates via Rio de Janeiro Galeaoeff 15NOV26 Increase from 9 to 10 weekly, A350-900Rome Fiumicino – Houston eff 25OCT26 3 weekly A330-900neo service scheduled in NW2609JAN27 – 28FEB27 Seasonal service suspensionRome Fiumicino – Male Frequency increase in 1Q27, from 3 weekly to following with A330-900neo11JAN27 – 03FEB27 4 weekly04FEB27 – 27MAR27 5 weeklyRome Fiumicino – San Francisco 11JAN27 – 01MAR27 Seasonal service suspensionRome Fiumicino – Washington Dulles 10JAN27 – 01MAR27 Seasonal service suspensionPreviously reported changes:Rome Fiumicino – Fort-de-France eff 05DEC26 1 weekly A330-900neo (scheduled charter)Rome Fiumicino – Mauritius eff 25OCT26 Increase from 2 weekly in NW25 to 3 weekly, A330-900neoRome Fiumicino – Santo Domingo eff 30NOV26 1 weekly A330-900neo (2 weekly from 20DEC26. Alitalia last served Santo Domingo until October 1998)"
ITA Airways NW26 Germany Service Reductions,2026-08-24 09:42:17,Published at 0500PDT / 1200GMT 21AUG26ITA Airways in recent schedule update filed service reductions to Germany for Northern winter 2026/27 season. Planned adjustments as follows.Rome Fiumicino – Frankfurt eff 25OCT26 Reduce from 2 to 1 dailyAZ400 FCO0835 – 1040FRA 223 157AZ404 FCO1520 – 1725FRA EQV x157AZ403 FRA1130 – 1330FCO 223 157AZ407 FRA1815 – 2015FCO EQV x157Rome Fiumicino – Munich eff 25OCT26 Reduce from 2 to 1 dailyAZ432 FCO0835 – 1010MUC 223 x157AZ436 FCO1635 – 1810MUC 220 157AZ437 MUC1100 – 1235FCO 223 x157AZ433 MUC1900 – 2040FCO 220 157Other notable minor service reductions:Rome Fiumicino – Brussels eff 25OCT26 Reduce from 14 to 13 weeklyRome Fiumicino – Zurich eff 25OCT26 Reduce from 14 to 13 weekly
ANA Tentatively Plans 1Q27 Tokyo – Milan Service Increases,2026-08-24 09:42:17,"Published at 0400PDT / 1100GMT 21AUG26Star Alliance member ANA this week filed schedule changes for Tokyo Haneda – Milan Malpensa route for Northern winter 2026/27 season. Based on this week’s update, the airline intends to increase service from 3 weekly to 7 weekly from 20FEB27 at the earliest.At time this post goes to press, ANA continues to show 3 weekly flights available for reservations for the period of 20FEB27 – 27MAR27. Further changes remain highly possible.Boeing 787-9 serves this route.NH207 HND2245 – 0555+1MXP 789 DNH208 MXP1020 – 0720+1HND 789 D"
GOL 1Q27 Rio de Janeiro – Lisbon Service Changes,2026-08-24 09:42:17,"Published at 0300PDT / 1000GMT 21AUG26Brasilian carrier GOL in last week’s schedule update revised planned A330-900neo service entry on Rio de Janeiro Galeao – Lisbon route. Previously scheduled to enter service on this route on 16JAN27, the A330neo is now scheduled to operate this route from 17FEB27, replacing Wamos Air A330-200.G37020 GIG0900 – 2140LIS 339 x247G37021 LIS2330 – 0630+1GIG 339 x247"
